user,photo,salutation,first_name,last_name,country,province,city,postal_code,street,premise,phone,birthday,notes
applicant,druplicon_applicant.png,Mr.,Applicable,Applicant,US,CA,Malibu,90265,6477 Zuma View Place #125,,1 67 188 5371-4105,04/16/1965,"fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada"
angel,druplicon_angel.png,Ms.,Angelic,Angelina,US,CA,Malibu,90265,6477 Zuma View Place #125,,1 88 274 1517-5545,03/28/1943,"primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae"
builder,druplicon_builder.png,,Buildy,Builder,US,CA,Malibu,90265,25322 Malibu Road,,1 21 383 7033-6517,07/20/1975,"tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac"
bulb,druplicon_bulb.png,,Bulb,Fiction,US,CA,Malibu,90265,6477 Zuma View Place #125,,1 59 667 1116-7294,09/03/1965,"Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim,"
cap,druplicon_cap.gif,,Captain,Cap,US,CA,Malibu,90265,6477 Zuma View Place #125,,1 92 125 7864-1632,04/19/1972,"auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget, venenatis a, magna."
engineer,druplicon_engineer.png,Dr.,Ingenious,Engineer,US,CA,Malibu,90265,6328 Sea Star Drive,,1 28 835 6549-6650,11/14/1991,"Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque"
india,druplicon_india.png,,Indian,Isabelle,US,CA,Malibu,90265,18147 Coastline Drive #7,,1 84 648 7129-2579,01/14/1943,"enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla"
patch,druplicon_patch.png,,Pretty,Patcher,US,CA,Malibu,90265,28128 Pacific Coast Highway #214,,1 35 732 3839-3571,04/22/1959,"augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum"
peru,druplicon_peru.jpg,,Peruvian,Portishead,US,CA,Malibu,90265,6477 Zuma View Place #125,,1 50 342 8225-9951,10/08/1993,"Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed turpis nec mauris blandit mattis. Cras eget"
tiger,druplicon_tiger.png,,Tiger,Cat,US,CA,Malibu,90265,28128 Pacific Coast Highway #214,,1 41 561 8289-7966,03/23/1966,"gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis."
