"name","mail","roles"
"recruiter","recruiter@recruiter.dev","recruiter"
"applicant","applicant@recruiter.dev","applicant"
"angel","angel@recruiter.dev","applicant"
"builder","builder@recruiter.dev","applicant"
"bulb","bulb@recruiter.dev","applicant"
"cap","cap@recruiter.dev","applicant"
"engineer","engineer@recruiter.dev","applicant"
"india","india@recruiter.dev","applicant"
"patch","patch@recruiter.dev","applicant"
"peru","peru@recruiter.dev","applicant"
"tiger","tiger@recruiter.dev","applicant"
